language,number of subwords,average paragraphs,entropy
en,28389,0.004,0.25684099421372686
ja,17990,58.966,0.18854995689822143
de,27317,24.098,0.2625590815266652
zh,15041,19.47,0.19643661920764624
vi,12721,8.3,0.19754593821020708
la,18464,8.669,0.19359593964519634
he,12211,27.462,0.16497947004404243
sq,17792,0.001,0.21100262412892373
sq,18169,14.07,0.20018749230247224
sq,16390,17.494,0.20747482793674119
en,28227,20.889,0.26121216854104345
ar,9382,9.804,0.22658863185196645
eu,15988,15.258,0.20353162966248783
bg,16534,13.97,0.21041002952337143
cs,22022,19.88,0.22237709848144455
nl,18825,9.472,0.22933317690218558
fi,19821,13.592,0.2146096030283514
fr,27626,27.796,0.2615883297169605
el,14901,22.014,0.14978539569776267
hi,6819,13.954,0.16065837796463545
hu,22489,23.833,0.20881149040714356
id,20959,19.747,0.2292983602122718
it,26551,25.171,0.26078226762214446
ko,14060,22.327,0.18719476077400937
pl,20900,17.824,0.23169898193647492
pt,23070,20.066,0.24795908637934597
ro,18764,15.766,0.2234557879818857
ru,21620,21.851,0.245792845952856
sk,17631,14.17,0.22348419281938273
