language,number of subwords,average paragraphs,entropy
ar,3750,10.35,0.37751679297147595
zh,4908,10.63,0.34736887971141694
ja,6413,74.68,0.3099110565876812
ko,4628,12.34,0.36021776590331184
ta,2051,8.45,0.32061493720702744
ar,4005,11.05,0.37561417431558847
zh,4643,19.38,0.3617910759749203
ja,6168,49.55,0.3136406540264003
ko,4848,21.87,0.33465478217548056
ta,2187,8.63,0.3037149477328957
ar,4164,10.73,0.37088842798956145
zh,4677,12.36,0.3545926444892801
ja,6137,33.12,0.3362269103802531
ko,4986,19.2,0.3523237938532173
ta,2207,8.18,0.31216157788697635
ar,3722,7.85,0.36373220422308855
zh,4783,15.96,0.3656617753542717
ja,6240,43.24,0.31325809664908383
ko,3997,10.54,0.35757031420161267
ta,1810,11.01,0.3098902064113081
ar,3972,9.02,0.36725616884436785
zh,5566,17.87,0.3613113671561456
ja,6655,104.53,0.26667984358583274
ko,4794,17.08,0.3448019485205384
ta,2399,14.47,0.3097224941487276
ar,3309,8.02,0.37889425004778216
zh,4969,14.4,0.352294777615791
ja,6687,66.92,0.30330588515559465
ko,4307,17.92,0.3499555276530162
ta,2209,9.6,0.28724581808008376
ar,4066,11.21,0.36626832965441775
zh,5150,23.01,0.3403266583751698
ja,6486,48.05,0.31649092807580514
ko,6031,42.47,0.33280622229685547
ta,2346,12.79,0.2897335998704191
