language,number of subwords,average paragraphs,entropy
en,4995,48.5,0.38448447552094034
ja,2285,47.6,0.40992995887450695
de,3329,26.3,0.3831917501166835
id,2338,17.7,0.39799012192247574
ta,802,11.5,0.371005933261743
he,2114,20.9,0.38872861150175464
hi,806,4.4,0.39674960322617053
la,1367,7.5,0.3966853226830271
ko,1353,17.7,0.4119191468652738
ru,2940,20.0,0.39313780233490314
pl,1526,11.3,0.4067054162269787
af,1139,9.3,0.3907330142296861
ar,1026,3.9,0.4076089154459428
fr,1592,13.1,0.3623854027151472
it,2603,12.4,0.39376390001676903
nl,978,5.5,0.3912819272049746
zh,2681,19.0,0.3886630852745326
el,1865,14.7,0.3402633010195758
sq,1737,27.7,0.40662412425669264
